Incident Date,State,City Or County,Address,Killed,Injured,Operations
11-Sep-16,Michigan,Saginaw,2207 Pierce Road,0,5,N/A
11-Sep-16,North Carolina,New Bern,1100 block of Highway 70,0,5,N/A
11-Sep-16,New Jersey,Jersey City,87 Van Wagenen Ave,1,3,N/A
10-Sep-16,Florida,Miami,3451 Northwest 36 Street,1,3,N/A
8-Sep-16,Arkansas,Hot Springs National Park (Hot Springs),300 block of Lacey Street,1,4,N/A
8-Sep-16,Texas,Del Valle,8330 Linden Rd,4,0,N/A
5-Sep-16,Pennsylvania,Reading,600 block of Moss Street,0,4,N/A
5-Sep-16,Illinois,Chicago,2700 block of West Lexington Avenue,2,3,N/A
4-Sep-16,Virginia,Roanoke,1020 Orange Ave NE,1,10,N/A
3-Sep-16,Illinois,Chicago,100 block of North Seeley Avenue,0,4,N/A
3-Sep-16,North Carolina,Wilmington,600 block of North 30th Street,1,3,N/A
30-Aug-16,Georgia,Atlanta,400 Merritts Avenue NE,0,4,N/A
30-Aug-16,Illinois,Chicago (Englewood),6800 block of South Ashland,0,4,N/A
29-Aug-16,New Jersey,Egg Harbor City,907 White Horse Pike,1,5,N/A
29-Aug-16,California,Temecula,41450 Cruz Way,5,0,N/A
28-Aug-16,Texas,Lubbock,2200 block of 17th St,0,6,N/A
28-Aug-16,Missouri,Saint Louis,South Grand and Montana,2,2,N/A
28-Aug-16,New York,Bronx,514 E 156th St,0,4,N/A
28-Aug-16,Alabama,Dadeville,512 E Columbus St,0,5,N/A
27-Aug-16,Florida,Miami,1900 block of NW 83rd Terr,2,4,N/A
27-Aug-16,Alabama,Bessemer (Brighton),3810 7th Ave,1,6,N/A
25-Aug-16,New Jersey,Bridgeton,Marion Street,0,5,N/A
21-Aug-16,Connecticut,Bridgeport,19 Plymouth St,0,13,N/A
21-Aug-16,Massachusetts,Boston,Westview and Stratton Street,0,4,N/A
20-Aug-16,Washington,Tacoma,900 block of Pacific Avenue,0,5,N/A
20-Aug-16,Connecticut,Hamden,903 Dixwell Avenue,0,4,N/A
20-Aug-16,Alabama,Citronelle,Jim Platt Road,5,0,N/A
18-Aug-16,Connecticut,Waterbury,402 E Main Street,0,4,N/A
17-Aug-16,California,Oakland,Mandela Parkway,0,4,N/A
14-Aug-16,Minnesota,Minneapolis,1717 Plymouth Avenue North,0,5,N/A
14-Aug-16,Virginia,Norfolk,1600 block of Selden Avenue,0,4,N/A
13-Aug-16,Wisconsin,Milwaukee,4001 West Fond Du Lac Avenue,2,2,N/A
13-Aug-16,California,Los Angeles,6300 block of 11th Avenue,0,4,N/A
13-Aug-16,New York,Corona (Queens),105-06 Jamaica Avenue,0,4,N/A
13-Aug-16,Missouri,Joplin,1800 Connecticut Ave,0,4,N/A
12-Aug-16,Florida,Jacksonville,100 block of West 38th Street,1,3,N/A
12-Aug-16,Texas,Dallas,10921 Estate Lane,1,3,N/A
11-Aug-16,Pennsylvania,Philadelphia,500 block of East Ashmead Street,0,4,N/A
10-Aug-16,Illinois,Evanston,Foster Street and Jackson Avenue,0,4,N/A
10-Aug-16,California,Sacramento,4000 Green Tree Drive,1,3,N/A
8-Aug-16,New Mexico,Albuquerque,341 General Marshall Street NE,2,2,N/A
8-Aug-16,Florida,Jacksonville,1214 Labelle St,0,7,N/A
7-Aug-16,California,Los Angeles,5925 South Figueroa Street,1,3,N/A
7-Aug-16,Colorado,Arvada,5400 block of Sheridan Boulevard,2,2,N/A
7-Aug-16,Mississippi,Vicksburg,4460 Clay St,1,3,N/A
7-Aug-16,Illinois,Chicago,100 block of South Springfield,0,4,N/A
6-Aug-16,Pennsylvania,Reading (Sinking Spring),51 Winding Brook Drive,5,0,N/A
5-Aug-16,Michigan,Pontiac,70 block of Thorpe Street,1,3,N/A
5-Aug-16,California,Mead Valley,21600 block of Rider Street,2,2,N/A
4-Aug-16,Tennessee,Memphis,Ayers Street and Griffith Avenue,0,4,N/A
3-Aug-16,Georgia,Decatur,4110 Glenwood Road,1,3,N/A
2-Aug-16,Florida,Hollywood (West Park),5700 block of West Hallandale Beach Boulevard,0,4,N/A
1-Aug-16,Indiana,Evansville,South Bedford Avenue,0,4,N/A
31-Jul-16,Florida,Miami,Southwest 203rd Terrace and 115th Avenue,3,1,N/A
31-Jul-16,Texas,Austin,208 East Sixth Street,1,4,N/A
30-Jul-16,Missouri,Saint Louis,5000 block of Kensington Avenue,0,5,N/A
30-Jul-16,Georgia,Townsend (Eulonia),14699 Highway 17,0,5,N/A
30-Jul-16,Washington,Mukilteo,10009 Chennault Beach,3,1,N/A
29-Jul-16,Georgia,Athens,Trail Creek Street,0,7,N/A
28-Jul-16,New York,Elmira,303 College Avenue,0,5,N/A
28-Jul-16,Maryland,Baltimore,Greenmount Avenue,0,4,N/A
28-Jul-16,Illinois,Chicago,800 block of West 50th Place,2,2,N/A
25-Jul-16,Florida,Fort Myers,3580 Evans Ave,2,19,N/A
24-Jul-16,Ohio,Hamilton,1555 Main St,1,7,N/A
23-Jul-16,South Carolina,North Charleston,3630 Ashley Phosphate Road,0,4,N/A
23-Jul-16,Ohio,Cincinnati,3400 block of Beekman Street,2,2,N/A
23-Jul-16,New York,Brooklyn,Fountain Avenue,0,4,N/A
23-Jul-16,Texas,Bastrop,202 Childers Drive,4,1,N/A
22-Jul-16,Illinois,Kankakee,300 block of North Wildwood Avenue,0,5,N/A
21-Jul-16,Illinois,Chicago,4400 block of South Leamington,0,5,N/A
20-Jul-16,California,Fresno,Hedges at Peach and Olive,0,4,N/A
19-Jul-16,Arkansas,West Memphis,13th Street and Tyler Avenue,0,4,N/A
17-Jul-16,Texas,Houston,6610 Tidwell,1,3,N/A
17-Jul-16,Louisiana,Baton Rouge,9611 Airline Highway,4,3,N/A
17-Jul-16,Michigan,Detroit,Grand River and McGraw avenue,0,4,N/A
16-Jul-16,Texas,Dallas,6300 block of Benavides Drive,0,5,N/A
16-Jul-16,Ohio,Cleveland,5000 block of Euclid Avenue,0,5,N/A
16-Jul-16,California,San Bernardino,1200 block of West 25th Street,0,4,N/A
16-Jul-16,California,Bakersfield,621 Stephens Drive,1,14,N/A
16-Jul-16,Tennessee,Clarksville,1348 College Street,0,6,N/A
15-Jul-16,Washington,Woodland,4006 NW 417th Street,3,1,N/A
14-Jul-16,Texas,Crosby,400 block of Pecan Avenue,3,1,N/A
14-Jul-16,California,Oakland,1600 block of 7th Street,0,4,N/A
14-Jul-16,Ohio,Akron,900 block of Moeller Avenue,1,3,N/A
13-Jul-16,Georgia,Warner Robins,105 Magnolia Avenue,0,5,N/A
13-Jul-16,Missouri,Saint Louis,3000 block of Miami St,2,2,N/A
11-Jul-16,Maryland,Baltimore,1800 block of W. North Avenue,0,5,N/A
11-Jul-16,Michigan,Jackson,500 block of Summit Avenue,0,4,N/A
11-Jul-16,Michigan,Saint Joseph,811 Port Street,3,2,N/A
11-Jul-16,District of Columbia,Washington,"5100 block of Call Pl., SE",0,4,N/A
7-Jul-16,Tennessee,Bristol,536 Volunteer Parkway,1,4,N/A
7-Jul-16,Louisiana,Baton Rouge,2136 North Lobdell Avenue,0,4,N/A
7-Jul-16,Texas,Dallas,800 Main Street,5,9,N/A
5-Jul-16,California,Los Angeles,56th Street and Naomi Avenue,0,4,N/A
4-Jul-16,Pennsylvania,Pittsburgh,Seventh and Liberty avenues,0,4,N/A
4-Jul-16,Illinois,Chicago (Englewood),5500 block of South Hermitage Avenue,0,4,N/A
4-Jul-16,New York,Brooklyn,419 Chauncey Street,0,7,N/A
4-Jul-16,Ohio,Cleveland,1400 block of W. 107 Street,0,4,N/A
4-Jul-16,Texas,Houston,1300 block of Robin,3,2,N/A
4-Jul-16,Arizona,Phoenix,4000 block of West Southern Avenue,2,6,N/A
3-Jul-16,Louisiana,Monroe,401 Lea Joyner Memorial Expy,2,3,N/A
3-Jul-16,Tennessee,Chattanooga,2300 block of Daisy Street,0,4,N/A
30-Jun-16,Illinois,Chicago,9500 block of South Loomis Street,1,4,N/A
29-Jun-16,Nevada,Las Vegas,6100 block of West Lake Mead Boulevard,5,0,N/A
28-Jun-16,California,Los Angeles (county),13800 block of South Avalon Boulevard,1,3,N/A
28-Jun-16,Illinois,Chicago,1600 block of South Christiana,0,4,N/A
27-Jun-16,Oregon,Woodburn,13436 Killiam Loop NE,3,1,N/A
26-Jun-16,Georgia,Atlanta,1500 block of Moreland Avenue SE,1,4,N/A
26-Jun-16,Texas,Houston,6000 block of Elm Street,1,3,N/A
26-Jun-16,Texas,Corpus Christi,Baldwin Blvd  and Lamar,0,4,N/A
26-Jun-16,South Carolina,Marlboro (county),Highway 38,0,4,N/A
26-Jun-16,North Carolina,Charlotte,2240 Camp Greene St.,0,5,N/A
25-Jun-16,Texas,Fort Worth,2466 East Lancaster Avenue,2,5,N/A
25-Jun-16,Virginia,Norfolk,700 block of Craig Street,0,4,N/A
25-Jun-16,Illinois,Chicago,1400 block of W. 114th Place,0,4,N/A
24-Jun-16,Kansas,Kansas City,N. 3rd and Walker,0,4,N/A
24-Jun-16,Connecticut,Hartford,Brook and Winter Street,0,5,N/A
24-Jun-16,Maryland,District Heights,3100 block of Orleans Ave,3,2,N/A
22-Jun-16,Washington,Olympia,500 block of Dutterow Road SE,3,1,N/A
22-Jun-16,Georgia,Dekalb (county),Lancashire Drive and Central Drive,1,4,N/A
22-Jun-16,Illinois,Chicago,3100 block of West Warren,0,4,N/A
21-Jun-16,New Jersey,Willingboro,Mosshill Lane,0,4,N/A
21-Jun-16,Kentucky,Louisville,2802 Rodman Street,2,2,N/A
19-Jun-16,Virginia,Roanoke,2328 Melrose Avenue,0,4,N/A
18-Jun-16,Virginia,Exmore,Fredrick Douglas Road,1,3,N/A
18-Jun-16,Georgia,Waycross,2625 Arnold Ct,2,2,N/A
18-Jun-16,Illinois,Chicago,East 79th Street and South Escanaba Avenue,0,4,N/A
14-Jun-16,Delaware,Wilmington,South Van Buren and Elm streets,0,4,N/A
14-Jun-16,California,Oakland,1301 Franklin Street,1,3,N/A
13-Jun-16,California,Fresno,East El Monte Way and Recreation Avenue,0,4,N/A
13-Jun-16,New York,Brooklyn,Avenue D and E. 57th,0,5,N/A
13-Jun-16,Illinois,Chicago,3200 block of West Congress,0,5,N/A
12-Jun-16,Florida,Orlando,1912 S Orange Avenue,50,53,N/A
11-Jun-16,Minnesota,Webster,4000 block of Elmore Avenue,0,4,N/A
11-Jun-16,California,Stockton,Alvarado Avenue,1,3,N/A
11-Jun-16,California,Panorama City,8500 block of Cedros Avenue,3,2,N/A
11-Jun-16,New Mexico,Roswell,2300 block of Davis Ave,5,0,N/A
11-Jun-16,North Carolina,Charlotte,4000 block of Collegiate Avenue,1,3,N/A
9-Jun-16,Florida,Fort Walton Beach,Landview Drive,0,4,N/A
8-Jun-16,Massachusetts,Boston,66 Washington St,1,3,N/A
8-Jun-16,District of Columbia,Washington,North Capitol Street and New York Avenue NW,0,4,N/A
6-Jun-16,California,Visalia,33 60 South Fairway Street,0,4,N/A
5-Jun-16,Minnesota,Minneapolis,8th and Humboldt Avenue N.,0,4,N/A
5-Jun-16,Florida,Cape Coral,2600 block of Skyline Boulevard S,3,3,N/A
5-Jun-16,New York,Brooklyn,Mermaid Ave and 16th St.,0,4,N/A
5-Jun-16,Arizona,Phoenix,8152 N Black Canyon Hwy,2,5,N/A
4-Jun-16,Colorado,Denver,3600 block of Hudson Street,3,1,N/A
31-May-16,Illinois,Chicago,3300 block of West Huron Street,0,4,N/A
31-May-16,Indiana,Fort Wayne,6600 block of Pawawna Drive,0,4,N/A
30-May-16,Maryland,Baltimore,500 block of East 43rd Street,0,5,N/A
30-May-16,California,Sacramento,3900 block of 44th,0,5,N/A
29-May-16,Nevada,Las Vegas,200 block of North 3rd Street,0,4,N/A
29-May-16,Texas,Houston,13210 Memorial Drive,2,6,N/A
29-May-16,New Jersey,Trenton,600 block of Martin Luther King Jr. Boulevard,0,6,N/A
29-May-16,Indiana,Indianapolis,300 block of South Meridian Street,0,4,N/A
23-May-16,New Jersey,Newark,102 Isabella Avenue,0,5,N/A
22-May-16,Louisiana,New Orleans,8639 Apple St,0,4,N/A
22-May-16,California,Stockton,Poplar and Sutter Streets,1,3,N/A
22-May-16,Tennessee,Nashville,100 block of Rains Avenue,0,4,N/A
21-May-16,Georgia,Jackson,Levi Barnes Road,1,3,N/A
18-May-16,Indiana,Indianapolis,34th Street and North Keystone Avenue,0,4,N/A
17-May-16,South Carolina,Ravenel,5360 Savannah Highway,3,1,N/A
15-May-16,Georgia,Moultrie,Rossman Dairy Road,5,0,N/A
15-May-16,Indiana,Evansville,420 North Garvin Street,0,4,N/A
14-May-16,Georgia,Atlanta,Cordova and Peoples Street,0,5,N/A
14-May-16,West Virginia,Charleston,2300 block of Washington Street West,1,3,N/A
11-May-16,Alabama,Birmingham,1400 block of 21st Street N,1,4,N/A
11-May-16,Illinois,Chicago,7100 block of South State Street,0,5,N/A
8-May-16,Texas,Austin,8600 block of North Lamar,1,3,N/A
6-May-16,Michigan,Detroit,12300 block of Gratiot,1,4,N/A
6-May-16,Alabama,Montgomery,1300 block of Clay Street,1,3,N/A
6-May-16,Maryland,Bethesda,7101 Democracy Blvd,3,3,N/A
5-May-16,Louisiana,Shreveport,300 block of North Thomas Drive,2,6,N/A
5-May-16,Florida,Miami,2108 NW 19th Terrace,1,3,N/A
4-May-16,Minnesota,Minneapolis,16th Avenue North and Newton Avenue North,1,7,N/A
1-May-16,Tennessee,Murfreesboro,1955 Old Castle Drive,0,5,N/A
29-Apr-16,Missouri,Saint Louis (Ferguson),400 block of Dade Ave,0,4,N/A
29-Apr-16,California,Oakland,3200 block of San Pablo Avenue,0,5,N/A
27-Apr-16,Louisiana,Baton Rouge,4000 Kerrit Drive,2,2,N/A
27-Apr-16,Mississippi,Kilmichael,Pecan Drive,3,1,N/A
26-Apr-16,Maryland,District Heights (Forestville),6500 block of Hil-Mar Drive,1,4,N/A
25-Apr-16,Tennessee,Nashville,400 Charlotte Avenue,0,4,N/A
25-Apr-16,Florida,Miami,1506 Northwest 70th Street,0,5,N/A
24-Apr-16,Virginia,Halifax,1055 L P Bailey Memorial Hwy,0,5,N/A
24-Apr-16,Illinois,Chicago (Englewood),2000 block of West 68th Place,2,3,N/A
24-Apr-16,Colorado,Denver,1400 block of 14th Street,0,4,N/A
23-Apr-16,Nevada,Las Vegas,1650 South Hollywood Boulevard,1,3,N/A
23-Apr-16,Alabama,Auburn,1200 block of Lee Road 83,3,1,N/A
23-Apr-16,Kansas,Topeka,3732 S.W. Topeka Boulevard,1,4,N/A
23-Apr-16,New York,New York (Manhattan),West 141st Street and Edgecombe Avenue,0,4,N/A
22-Apr-16,Ohio,Piketon,4077 Union Hill Road,8,0,N/A
22-Apr-16,Georgia,Appling,3162 Johnson Drive,6,0,N/A
21-Apr-16,Maryland,Baltimore,4800 block of Frankford Avenue,0,4,N/A
19-Apr-16,Alabama,Blountsville,81551 Us Highway 278,1,4,N/A
19-Apr-16,Illinois,Chicago,2700 block of West 53rd Street,1,3,N/A
19-Apr-16,Illinois,Chicago,1400 block of West 84th Street,1,4,N/A
18-Apr-16,California,Long Beach,1200 block of E. 17th Street,1,3,N/A
17-Apr-16,Pennsylvania,Philadelphia,600 block of Westmoreland Street,3,1,N/A
17-Apr-16,South Carolina,Pelzer,200 block of Eastview Road,1,3,N/A
17-Apr-16,Texas,Edinburg,5021 W St Hwy 107,1,6,N/A
16-Apr-16,Michigan,Detroit,9500 block of Oakland,1,4,N/A
16-Apr-16,Florida,Orlando,1100 block of Conley Street,2,4,N/A
16-Apr-16,Alabama,Enterprise,Baxter Street,0,4,N/A
14-Apr-16,New Jersey,Orange,Taylor Street,1,3,N/A
10-Apr-16,Wisconsin,Milwaukee,76th and Sheridan,1,3,N/A
10-Apr-16,California,Los Angeles,84th Street and Towne Avenue,0,4,N/A
9-Apr-16,Tennessee,Memphis,Mt Moriah Road and Ridgeway Road,0,4,N/A
9-Apr-16,Alabama,Anniston,West 15th Street and Crawford Avenue,0,4,N/A
9-Apr-16,New Mexico,Albuquerque,2600 block of Mesa Drive SE,0,4,N/A
7-Apr-16,Illinois,Chicago,2200 block of East 70th Place,0,4,N/A
31-Mar-16,Illinois,Chicago (Englewood),6800 block of South Throop,0,4,N/A
25-Mar-16,Illinois,Chicago,4500 block of West West End Avenue,0,4,N/A
25-Mar-16,Colorado,Denver,8501 E. Alameda Avenue,0,4,N/A
21-Mar-16,Illinois,Chicago,5700 block of West Washington Boulevard,0,4,N/A
19-Mar-16,Florida,Plantation,12050 NW 4th Court,1,4,N/A
19-Mar-16,Alabama,Wetumpka,South Shelby Street,2,2,N/A
15-Mar-16,Georgia,Atlanta,Donald Lee Hollowell Drive,0,5,N/A
13-Mar-16,Florida,Fort Myers,50 South Road,0,4,N/A
12-Mar-16,Oregon,Portland,16126 S.E. Stark St.,0,4,N/A
12-Mar-16,California,Oakland,Interstate 880,0,4,N/A
11-Mar-16,Michigan,Detroit,2600 block of Hazelwood,2,2,N/A
11-Mar-16,New Jersey,Trenton,Oliver Avenue,0,5,N/A
9-Mar-16,Pennsylvania,Pittsburgh (Wilkinsburg),1304 Franklin Avenue,5,3,N/A
8-Mar-16,Texas,San Antonio,Sherman Street,2,3,N/A
7-Mar-16,Louisiana,Lafayette,800 block of Martin Luther King Jr. Drive,0,4,N/A
7-Mar-16,Kansas,Kansas City,3000 block of South 36th Street,5,0,N/A
6-Mar-16,Massachusetts,Chelsea,120 Washington Avenue,1,6,N/A
6-Mar-16,Georgia,Roswell,890 Atlanta St,0,4,N/A
6-Mar-16,California,Compton,900 block of West Victoria Street,1,8,N/A
5-Mar-16,Kansas,Wichita,116 North Mead,0,4,N/A
4-Mar-16,Ohio,Columbus,900 E. 5th Ave.,1,3,N/A
28-Feb-16,Michigan,Detroit,8800 block of Livernois,0,5,N/A
28-Feb-16,California,Riverside (Jurupa Valley),5500 block of Etiwanda Avenue,1,3,N/A
27-Feb-16,Virginia,Woodbridge (Lake Ridge),13051 Lashmere Court,2,2,N/A
26-Feb-16,Washington,Belfair,300 block of Horseshoe Rd.,5,0,N/A
25-Feb-16,Kansas,Hesston,200 S Ridge Rd,4,14,N/A
23-Feb-16,Arizona,Glendale,4812 West Sunnyside Ave,5,0,N/A
23-Feb-16,Florida,Daytona Beach,1042 Sheridan Road,0,4,N/A
21-Feb-16,Missouri,Hazelwood,Interstate Highway 270 and North Lindbergh Boulevard,1,3,N/A
21-Feb-16,Texas,Houston,5100 block of Idaho Street,0,5,N/A
20-Feb-16,Florida,Tampa,2810 E. Bearss Ave,1,3,N/A
20-Feb-16,Alabama,Bessemer,200 block of Elm Street,1,3,N/A
20-Feb-16,Florida,Orlando,446 S Parramore Ave,0,4,N/A
20-Feb-16,Mississippi,Iuka,County Road 201,2,3,N/A
20-Feb-16,Michigan,Kalamazoo,5581 Cracker Barrel Blvd,6,2,N/A
19-Feb-16,Missouri,Edgerton,4100 block of Buena Vista Road,4,0,N/A
19-Feb-16,California,Vallejo,509 Porter Street,1,3,N/A
14-Feb-16,Texas,Houston,8449 Gulf Freeway,1,3,N/A
14-Feb-16,Alabama,Eutaw (Union),Earnest Friday Road,0,5,N/A
13-Feb-16,Louisiana,Marrero,5425 Lapalco Boulevard,0,4,N/A
7-Feb-16,Mississippi,Pass Christian,Davis Avenue,2,4,N/A
7-Feb-16,Florida,Orlando,7432 Universal Blvd,2,10,N/A
7-Feb-16,New York,Rochester,547 State street,1,7,N/A
7-Feb-16,Illinois,Chicago (Englewood),6500 block of South Green Street,0,4,N/A
6-Feb-16,California,Los Angeles,12800 block of Cook Street,1,3,N/A
6-Feb-16,Florida,Apopka,10th Street,0,4,N/A
6-Feb-16,Florida,Tampa,8123 N Nebraska Ave,2,6,N/A
3-Feb-16,District of Columbia,Washington,1500 block of Butler St. SE,0,4,N/A
30-Jan-16,Colorado,Denver,4655 Humboldt St,1,3,N/A
30-Jan-16,Arizona,Glendale,67th and Missouri Avenue,3,5,N/A
27-Jan-16,Virginia,Chesapeake,1401 N. George Washington Hwy,6,0,N/A
26-Jan-16,Washington,Seattle,Airport Way S. and S. Atlantic St.,2,3,N/A
25-Jan-16,California,Perris,140 S. D Street,1,4,N/A
23-Jan-16,California,Los Angeles,8105 Avalon Blvd,2,2,N/A
17-Jan-16,Virginia,Ware Neck (Gloucester Courthouse),Ditchley Road and Gill Lane,1,3,N/A
11-Jan-16,Delaware,Wilmington,900 block of Brown Street,1,4,N/A
8-Jan-16,District of Columbia,Washington,1700 East Capitol Street Northeast,0,4,N/A
8-Jan-16,Illinois,Chicago,1500 block of South Kedzie,1,4,N/A
7-Jan-16,Tennessee,Memphis,3800 block of Kerwood Avenue,1,3,N/A
6-Jan-16,Florida,Lakeland,2312 East Magnolia Street,3,1,N/A
31-Dec-15,Louisiana,New Orleans,1900 block of Amelia Street,0,6,N/A
27-Dec-15,Tennessee,Jackson,North Parkway,0,4,N/A
26-Dec-15,Pennsylvania,Philadelphia,4210 Macalester St,0,4,N/A
25-Dec-15,Florida,Jacksonville,Franklin and Odessa,0,4,N/A
25-Dec-15,Alabama,Mobile,785 Schillinger Rd S,0,4,N/A
21-Dec-15,California,San Leandro,14600 block of East 14th Street,0,4,N/A
20-Dec-15,North Carolina,Wilmington,11th and Castle Street,1,4,N/A
20-Dec-15,Florida,Miami (Goulds),21630 Southwest 120th Avenue,1,4,N/A
20-Dec-15,Florida,Miami-dade (county),Northeast Seventh Avenue and Northeast 166th Street,0,4,N/A
